Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
0,21.75,11.75,1.0,1,Energy,White,0.25,0.0,0.0,0.0,1.0,ByBirth,180.0,0,0
1,20.42,7.5,1.0,1,Financials,White,1.5,1.0,1.0,1.0,0.0,ByBirth,160.0,234,1
1,27.83,1.0,0.0,0,Real Estate,Black,3.0,0.0,0.0,0.0,0.0,ByBirth,176.0,537,0
0,27.42,14.5,1.0,1,Utilities,Black,3.085,1.0,1.0,1.0,0.0,ByBirth,120.0,11,1
1,34.17,,1.0,1,InformationTechnology,White,1.54,1.0,1.0,1.0,1.0,ByBirth,520.0,50000,1
1,28.0,3.0,1.0,1,Industrials,White,0.75,0.0,0.0,0.0,1.0,ByBirth,300.0,67,0
1,23.17,0.0,1.0,1,InformationTechnology,White,0.085,1.0,0.0,0.0,0.0,ByBirth,0.0,0,1
1,41.17,1.25,0.0,0,Industrials,White,0.25,0.0,0.0,0.0,0.0,ByBirth,0.0,195,0
1,31.92,4.46,1.0,1,InformationTechnology,Black,6.04,1.0,1.0,3.0,0.0,ByBirth,311.0,300,1
1,32.42,3.0,1.0,1,Real Estate,White,0.165,0.0,0.0,0.0,1.0,ByBirth,120.0,0,0
1,30.58,2.71,0.0,0,CommunicationServices,White,0.125,0.0,0.0,0.0,1.0,ByOtherMeans,80.0,0,0
1,22.17,12.125,1.0,1,Energy,White,3.335,0.0,1.0,2.0,1.0,ByBirth,180.0,173,0
1,22.25,0.46,1.0,1,Financials,White,0.125,0.0,0.0,0.0,1.0,ByBirth,280.0,55,0
1,30.67,2.5,1.0,1,InformationTechnology,Black,2.25,0.0,0.0,0.0,1.0,ByOtherMeans,340.0,0,0
0,30.58,10.665,1.0,1,Materials,Black,0.085,0.0,1.0,12.0,1.0,ByBirth,129.0,3,0
0,52.17,0.0,0.0,0,Healthcare,Latino,0.0,0.0,0.0,0.0,0.0,ByBirth,0.0,0,0
1,47.17,5.835,1.0,1,Industrials,White,5.5,0.0,0.0,0.0,0.0,ByBirth,465.0,150,0
1,44.0,2.0,1.0,1,CommunicationServices,White,1.75,1.0,1.0,2.0,1.0,ByBirth,0.0,15,1
1,20.75,5.085,0.0,0,Research,White,0.29,0.0,0.0,0.0,0.0,ByBirth,140.0,184,0
1,18.17,10.25,1.0,1,Energy,Black,1.085,0.0,0.0,0.0,0.0,ByBirth,320.0,13,0
0,26.58,2.54,0.0,0,Healthcare,Latino,0.0,0.0,0.0,0.0,1.0,ByBirth,180.0,60,0
0,24.75,13.665,1.0,1,Materials,Black,1.5,0.0,0.0,0.0,0.0,ByBirth,280.0,1,0
1,27.67,13.75,1.0,1,Industrials,White,5.75,1.0,0.0,0.0,1.0,ByBirth,487.0,500,1
1,29.42,1.25,1.0,1,Industrials,White,1.75,0.0,0.0,0.0,0.0,ByBirth,200.0,0,0
0,33.08,4.625,1.0,1,Materials,Black,1.625,1.0,1.0,2.0,0.0,ByBirth,0.0,0,1
1,23.08,0.0,1.0,1,Financials,White,1.0,0.0,1.0,11.0,0.0,ByOtherMeans,0.0,0,0
1,35.25,16.5,0.0,0,Energy,White,4.0,1.0,0.0,0.0,0.0,ByBirth,80.0,0,0
1,28.17,0.125,0.0,0,Financials,White,0.085,0.0,0.0,0.0,0.0,ByBirth,216.0,2100,0
1,54.42,0.5,0.0,0,Financials,Black,3.96,1.0,0.0,,0.0,ByBirth,180.0,314,1
1,56.0,12.5,1.0,1,Financials,Black,8.0,1.0,0.0,0.0,1.0,ByBirth,24.0,2028,1
1,32.25,0.165,0.0,0,Energy,Black,3.25,1.0,1.0,1.0,1.0,ByBirth,432.0,8000,1
1,37.17,4.0,1.0,1,,Asian,5.0,1.0,0.0,0.0,1.0,ByOtherMeans,280.0,0,0
0,19.17,8.585,1.0,1,InformationTechnology,Black,0.75,1.0,1.0,7.0,0.0,ByBirth,96.0,0,1
1,25.67,0.29,0.0,0,Energy,White,1.5,0.0,0.0,0.0,1.0,ByBirth,160.0,0,0
1,17.25,3.0,1.0,1,Financials,White,0.04,0.0,0.0,0.0,1.0,ByBirth,160.0,40,0
0,26.92,13.5,1.0,1,Materials,Black,5.0,1.0,1.0,2.0,0.0,ByBirth,0.0,5000,1
1,44.83,7.0,0.0,0,Energy,,1.625,0.0,0.0,0.0,0.0,ByBirth,160.0,2,0
1,32.08,4.0,0.0,0,InformationTechnology,White,1.5,0.0,0.0,0.0,1.0,ByBirth,120.0,0,0
1,19.0,0.0,0.0,0,Healthcare,Latino,0.0,0.0,1.0,4.0,0.0,ByBirth,45.0,1,0
1,31.25,2.835,1.0,1,Healthcare,Latino,0.0,0.0,1.0,5.0,0.0,ByBirth,176.0,146,0
1,19.17,4.0,0.0,0,ConsumerDiscretionary,White,1.0,0.0,0.0,0.0,1.0,ByBirth,360.0,1000,0
1,33.75,2.75,1.0,1,ConsumerDiscretionary,Asian,0.0,0.0,0.0,0.0,0.0,ByBirth,180.0,0,0
1,18.58,10.29,1.0,1,Healthcare,Latino,0.415,0.0,0.0,0.0,0.0,ByBirth,80.0,0,0
0,22.25,1.25,0.0,0,Healthcare,Latino,3.25,0.0,0.0,0.0,0.0,ByBirth,280.0,0,0
1,19.58,0.585,1.0,1,Healthcare,Latino,0.0,0.0,1.0,3.0,0.0,ByBirth,350.0,769,0
0,25.25,13.5,0.0,0,Healthcare,Latino,2.0,0.0,1.0,1.0,1.0,ByBirth,200.0,1,0
1,27.25,0.625,1.0,1,ConsumerStaples,White,0.455,1.0,0.0,0.0,1.0,ByBirth,200.0,0,0
1,76.75,22.29,1.0,1,Education,Other,12.75,1.0,1.0,1.0,1.0,ByBirth,0.0,109,1
1,18.42,10.415,0.0,0,ConsumerStaples,White,0.125,1.0,0.0,0.0,0.0,ByBirth,120.0,375,0
1,44.33,0.5,1.0,1,ConsumerDiscretionary,Black,5.0,1.0,0.0,0.0,1.0,ByBirth,320.0,0,1
1,29.83,1.25,0.0,0,Financials,White,0.25,0.0,0.0,0.0,0.0,ByBirth,224.0,0,0
1,43.25,3.0,1.0,1,Materials,Black,6.0,1.0,1.0,11.0,0.0,ByBirth,80.0,0,1
1,28.46,5.0,0.0,0,ConsumerStaples,White,8.5,1.0,0.0,0.0,0.0,ByBirth,0.0,0,0
1,27.83,1.5,1.0,1,Industrials,White,2.0,1.0,,11.0,1.0,ByBirth,434.0,35,1
